numGreen,numYellow,numBlue,avgGreen,maxGreen,minGreen,avgYellow,maxYellow,minYellow,avgBlue,maxBlue,minBlue,time
23,17,24,13.3,39.1,0.3,20.6,60.2,1.9,12.1,35.1,0.6,0.297
5,43,8,48.0,125.0,9.9,5.5,24.9,0.3,27.6,55.5,5.2,0.247
1,11,37,175.4,294.4,222.4,23.9,61.5,3.0,4.9,28.8,0.4,0.21
12,48,3,22.5,67.1,3.5,5.7,24.8,0.2,75.4,153.4,17.6,0.274
2,7,27,86.1,175.6,33.4,30.8,86.1,1.7,4.9,22.0,0.4,0.15
8,30,6,25.6,70.3,4.8,6.8,23.5,0.2,31.8,86.6,4.0,0.188
6,40,14,42.8,125.6,4.0,6.8,24.2,0.2,18.0,51.4,1.1,0.262
14,15,15,15.9,46.9,0.3,15.9,63.4,1.0,13.3,48.4,0.5,0.186
22,25,14,13.4,54.1,0.6,12.8,38.8,0.4,20.3,65.8,1.2,0.272
20,16,17,13.3,44.9,0.8,18.2,42.8,1.4,14.6,35.5,0.8,0.236
15,29,7,16.1,44.0,1.6,8.6,30.2,0.2,32.7,89.5,2.9,0.221
19,28,15,15.7,40.6,0.7,11.3,33.0,0.5,18.2,68.6,0.9,0.278
19,11,20,13.2,50.2,0.4,24.7,72.4,2.5,11.4,32.2,0.8,0.218
8,11,24,27.1,92.1,1.0,22.5,69.8,2.2,7.6,29.0,0.4,0.185
19,19,8,11.6,40.3,0.9,12.7,41.8,0.8,26.1,73.0,2.5,0.198
5,57,0,36.5,83.2,2.7,4.1,14.9,0.2,0.0,0.0,0.0,0.273
9,25,7,22.1,47.7,1.7,8.1,26.4,0.2,26.3,54.2,10.8,0.176
0,22,15,0.0,0.0,0.0,8.4,26.2,0.2,10.1,28.0,0.4,0.152
5,27,30,58.2,151.4,8.4,11.9,35.3,0.6,8.5,28.2,0.4,0.273
0,42,17,0.0,0.0,0.0,6.2,23.9,0.2,13.7,37.4,1.8,0.256
32,2,26,8.7,28.7,0.3,130.5,256.1,106.7,10.2,33.2,0.5,0.264
10,35,8,24.8,63.5,0.8,6.9,23.7,0.3,27.8,55.0,3.9,0.228
3,24,23,78.9,150.9,21.9,10.9,38.9,0.4,9.1,43.1,0.4,0.219
33,2,26,8.8,33.7,0.3,140.7,253.8,125.5,10.5,28.6,0.5,0.268
41,2,1,4.0,15.8,0.3,104.4,205.3,63.4,160.4,253.8,185.6,0.191
27,30,6,10.6,42.9,0.3,10.4,38.3,0.3,45.9,110.4,0.9,0.275
49,8,1,4.6,21.0,0.3,36.2,94.5,6.2,177.7,329.1,259.1,0.26
4,20,24,58.1,138.9,9.8,12.6,39.8,0.8,8.2,27.6,0.4,0.21
8,3,27,24.6,103.8,1.2,72.2,171.6,11.2,5.6,28.4,0.4,0.157
10,2,11,12.0,31.5,0.6,75.9,110.9,60.1,9.1,24.9,0.5,0.088
10,11,6,13.0,34.1,0.6,14.0,38.2,0.4,21.0,42.2,3.9,0.106
29,30,2,9.1,31.7,0.3,10.1,28.8,0.5,116.5,246.8,68.2,0.267
25,21,17,12.0,42.0,0.5,16.3,57.2,1.0,16.8,44.0,0.4,0.276
25,11,26,12.6,42.6,0.5,30.6,105.2,2.8,10.8,32.6,0.5,0.271
2,34,18,110.9,207.9,76.6,7.6,29.5,0.3,12.6,41.4,0.5,0.235
7,1,1,6.4,25.1,0.3,78.2,95.4,76.6,47.5,63.6,43.8,0.032
14,11,17,14.9,54.0,0.4,22.1,76.2,1.5,11.1,39.0,0.5,0.181
2,11,46,119.8,292.6,54.2,27.7,70.5,5.3,4.6,23.4,0.4,0.262
13,0,33,18.3,95.6,0.6,0.0,0.0,0.0,5.4,20.1,0.4,0.197
11,17,7,15.6,43.3,0.7,11.1,31.7,0.4,22.4,47.6,2.1,0.141
9,18,17,24.5,59.2,3.5,13.1,45.2,0.5,11.6,35.4,0.4,0.189
10,7,10,13.8,49.7,0.6,23.7,54.5,1.2,12.5,36.1,0.5,0.105
4,12,48,68.7,248.4,7.6,26.9,68.7,2.2,5.0,21.5,0.4,0.285
19,1,25,11.9,43.8,0.3,191.5,317.4,257.2,7.6,28.5,0.4,0.195
9,12,43,33.3,129.6,2.1,27.2,97.7,2.6,6.0,26.9,0.4,0.286
19,28,6,13.1,44.4,0.5,9.4,32.9,0.4,38.8,93.1,3.4,0.23
